track_name,album_name,artist,all_artists,source_playlist,popularity,danceability,energy,tempo
U Lie,Lahmer Album,G.G.A,G.G.A,baxv_radio,15,0.576,0.468,108.019
Fusion,Fusion,KHLNZYY,"KHLNZYY, BAXV",baxv_radio,15,0.942,0.449,124.046
Fusion,Fusion,BAXV,"KHLNZYY, BAXV",baxv_radio,15,0.942,0.449,124.046
9atli Le Mazel,Soda,BAXV,BAXV,baxv_radio,13,0.843,0.41,120.064
Ghara9,Ghara9,FIN,"FIN, XIIVI",baxv_radio,18,0.561,0.666,130.136
Ghara9,Ghara9,XIIVI,"FIN, XIIVI",baxv_radio,18,0.561,0.666,130.136
4000,Yeti,Wingz,"Wingz, Kiev",baxv_radio,25,0.744,0.45,158.021
4000,Yeti,Kiev,"Wingz, Kiev",baxv_radio,25,0.744,0.45,158.021
عدنان ولينا,عدنان ولينا,Cheb terro,Cheb terro,baxv_radio,28,0.668,0.374,77.516
7amra ka7la,RISE OF A GANG,Ta9chira,"Ta9chira, 4lfa, Brotherhood Family, Ktyb",baxv_radio,35,0.69,0.564,89.937
7amra ka7la,RISE OF A GANG,4lfa,"Ta9chira, 4lfa, Brotherhood Family, Ktyb",baxv_radio,35,0.69,0.564,89.937
7amra ka7la,RISE OF A GANG,Brotherhood Family,"Ta9chira, 4lfa, Brotherhood Family, Ktyb",baxv_radio,35,0.69,0.564,89.937
7amra ka7la,RISE OF A GANG,Ktyb,"Ta9chira, 4lfa, Brotherhood Family, Ktyb",baxv_radio,35,0.69,0.564,89.937
Ok Nivam,Ghost,BAXV,"BAXV, XIIVI",baxv_radio,20,0.736,0.59,156.017
Ok Nivam,Ghost,XIIVI,"BAXV, XIIVI",baxv_radio,20,0.736,0.59,156.017
Mewtwo,Six Side,SIXBOI,SIXBOI,baxv_radio,17,0.953,0.297,113.026
TAKE CARE,thank you for waiting,Na$s 2y2,Na$s 2y2,baxv_radio,16,0.691,0.361,109.955
Nigga Who Cares ?,INFAMOUS,Wingz,"Wingz, XIIVI",baxv_radio,25,0.921,0.567,129.927
Nigga Who Cares ?,INFAMOUS,XIIVI,"Wingz, XIIVI",baxv_radio,25,0.921,0.567,129.927
Rai Futura 2000,Rai Futura,Cheb terro,"Cheb terro, Taymour",baxv_radio,16,0.847,0.546,140.974
Rai Futura 2000,Rai Futura,Taymour,"Cheb terro, Taymour",baxv_radio,16,0.847,0.546,140.974
Bourid (Interlude),Odyssey (Odd To See),BAXV,BAXV,baxv_radio,10,0.797,0.259,136.723
In da haha,Tchedou m'debo [01 Mixtape],Vipa,"Vipa, ElMassi",baxv_radio,14,0.735,0.474,86.035
In da haha,Tchedou m'debo [01 Mixtape],ElMassi,"Vipa, ElMassi",baxv_radio,14,0.735,0.474,86.035
ANGEL DUST,FINGZ SE4SON,FIN,"FIN, Wingz, BAXV",baxv_radio,10,0.463,0.53,249.446
ANGEL DUST,FINGZ SE4SON,Wingz,"FIN, Wingz, BAXV",baxv_radio,10,0.463,0.53,249.446
ANGEL DUST,FINGZ SE4SON,BAXV,"FIN, Wingz, BAXV",baxv_radio,10,0.463,0.53,249.446
Dhaw Elgamra,Lahmer Album,G.G.A,G.G.A,baxv_radio,27,0.717,0.528,119.837
flashforward,Missing Archives,Wingz,Wingz,baxv_radio,25,0.651,0.704,96.003
7OUMET ZEBI DHI9A,ONCE UPON A TIME IN 7OUMET 3AYCHA,BAXV,BAXV,baxv_radio,14,0.812,0.332,140.051
ذكريات,ذكريات,Cheb terro,Cheb terro,baxv_radio,29,0.644,0.488,72.955
Flen W Flen,Rachma Sounds Vol. 1,GAL3Y,"GAL3Y, Vipa",baxv_radio,17,0.589,0.648,87.781
Flen W Flen,Rachma Sounds Vol. 1,Vipa,"GAL3Y, Vipa",baxv_radio,17,0.589,0.648,87.781
N3ich Fin (RIP Cheb Terro),N3ich Fin (RIP Cheb Terro),khadhraoui ghaith,"khadhraoui ghaith, WECIM",baxv_radio,16,0.634,0.252,78.176
N3ich Fin (RIP Cheb Terro),N3ich Fin (RIP Cheb Terro),WECIM,"khadhraoui ghaith, WECIM",baxv_radio,16,0.634,0.252,78.176
Saddem Houssine,Lahmer Mixtape,G.G.A,G.G.A,baxv_radio,29,0.824,0.793,125.973
pussy juice,Missing Archives,Wingz,"Wingz, XIIVI",baxv_radio,24,0.76,0.566,157.986
pussy juice,Missing Archives,XIIVI,"Wingz, XIIVI",baxv_radio,24,0.76,0.566,157.986
Baganda,Soda,BAXV,BAXV,baxv_radio,9,0.853,0.453,117.047
Exit,Exit,Cheb terro,Cheb terro,baxv_radio,21,0.763,0.545,135.895
DICTUM (feat. KHLNZYY),HEISEINBVNG,BVNGBELV,"BVNGBELV, KHLNZYY",baxv_radio,9,0.609,0.508,98.454
DICTUM (feat. KHLNZYY),HEISEINBVNG,KHLNZYY,"BVNGBELV, KHLNZYY",baxv_radio,9,0.609,0.508,98.454
3ichna rjel,DEBO Maya3rfouch [00 Mixtape],Katybon,"Katybon, Vipa, Pazaman, Trappa",baxv_radio,24,0.425,0.591,81.913
3ichna rjel,DEBO Maya3rfouch [00 Mixtape],Vipa,"Katybon, Vipa, Pazaman, Trappa",baxv_radio,24,0.425,0.591,81.913
3ichna rjel,DEBO Maya3rfouch [00 Mixtape],Pazaman,"Katybon, Vipa, Pazaman, Trappa",baxv_radio,24,0.425,0.591,81.913
3ichna rjel,DEBO Maya3rfouch [00 Mixtape],Trappa,"Katybon, Vipa, Pazaman, Trappa",baxv_radio,24,0.425,0.591,81.913
90377 SEDNA,GEN Z,$MXTI,"$MXTI, Cheb terro",baxv_radio,16,0.575,0.361,81.106
90377 SEDNA,GEN Z,Cheb terro,"$MXTI, Cheb terro",baxv_radio,16,0.575,0.361,81.106
Zugzwang,OYABUN,Wingz,"Wingz, XIIVI, BAXV",baxv_radio,19,0.807,0.55,140.024
Zugzwang,OYABUN,XIIVI,"Wingz, XIIVI, BAXV",baxv_radio,19,0.807,0.55,140.024
Zugzwang,OYABUN,BAXV,"Wingz, XIIVI, BAXV",baxv_radio,19,0.807,0.55,140.024
